epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5885.69,1.09447,0.70287,1.04836,0.819,0.67562,0.75537,0.47005,1.27057,0.78919,1.10814,0.000523716,0.000523716,0.000523716
113,5939.08,1.10402,0.70893,1.04208,0.79229,0.67787,0.75492,0.46932,1.27517,0.7881,1.11627,0.000501495,0.000501495,0.000501495
114,5990.85,1.10123,0.70316,1.04708,0.78822,0.70452,0.75648,0.47104,1.2658,0.78124,1.11567,0.000479725,0.000479725,0.000479725
115,6042.63,1.09574,0.69775,1.04579,0.79772,0.69821,0.75421,0.47019,1.2743,0.78426,1.12224,0.000458416,0.000458416,0.000458416
116,6093.92,1.0806,0.69281,1.04438,0.80622,0.69506,0.75807,0.46778,1.2792,0.79236,1.12004,0.000437577,0.000437577,0.000437577
117,6145.69,1.09834,0.70511,1.0489,0.79919,0.69469,0.75706,0.46815,1.27293,0.78257,1.11597,0.000417217,0.000417217,0.000417217
118,6198.64,1.07614,0.69439,1.03671,0.79482,0.69247,0.75011,0.46614,1.26886,0.79443,1.11793,0.000397346,0.000397346,0.000397346
119,6251.35,1.08938,0.69413,1.04371,0.80873,0.69085,0.75139,0.46951,1.26641,0.80295,1.11202,0.000377971,0.000377971,0.000377971
120,6303.93,1.086,0.70191,1.04841,0.81502,0.67644,0.75807,0.47335,1.27158,0.78851,1.11381,0.000359101,0.000359101,0.000359101
121,6356.63,1.07662,0.68922,1.03799,0.78134,0.70242,0.75768,0.47274,1.27107,0.78119,1.11269,0.000340745,0.000340745,0.000340745
122,6408.23,1.05833,0.68197,1.02983,0.79171,0.70746,0.75873,0.47555,1.26509,0.77166,1.11147,0.000322911,0.000322911,0.000322911
123,6460.79,1.0702,0.68177,1.03746,0.8152,0.69821,0.76087,0.47631,1.26047,0.76799,1.11536,0.000305606,0.000305606,0.000305606
124,6513.35,1.08828,0.6964,1.04059,0.80473,0.69768,0.75912,0.47548,1.26014,0.77386,1.11341,0.000288838,0.000288838,0.000288838
125,6565.77,1.06857,0.68514,1.03288,0.82361,0.67755,0.75568,0.47287,1.26714,0.78397,1.1165,0.000272615,0.000272615,0.000272615
126,6618.46,1.0585,0.67692,1.03288,0.78947,0.71083,0.76442,0.47777,1.25932,0.77313,1.11527,0.000256943,0.000256943,0.000256943
127,6672.07,1.05837,0.67823,1.03779,0.78946,0.69716,0.75929,0.47893,1.25172,0.77479,1.10973,0.000241829,0.000241829,0.000241829
128,6725.31,1.0625,0.67594,1.03345,0.82642,0.66877,0.75747,0.47631,1.25539,0.78066,1.10939,0.000227281,0.000227281,0.000227281
129,6779.31,1.05444,0.6739,1.02919,0.79312,0.69401,0.75589,0.47639,1.25279,0.78183,1.10681,0.000213304,0.000213304,0.000213304
130,6832.36,1.05508,0.67462,1.02877,0.79983,0.69821,0.75929,0.47838,1.24606,0.77354,1.10508,0.000199904,0.000199904,0.000199904
131,6883.18,1.06909,0.68601,1.03996,0.79104,0.70873,0.75826,0.47441,1.25161,0.77275,1.10611,0.000187088,0.000187088,0.000187088
132,6934.97,1.03642,0.66087,1.02184,0.79337,0.70655,0.75939,0.47556,1.25748,0.76802,1.10774,0.000174861,0.000174861,0.000174861
133,6987.69,1.05159,0.66941,1.03198,0.80287,0.69716,0.76052,0.47693,1.26087,0.771,1.10895,0.000163229,0.000163229,0.000163229
134,7040.57,1.05061,0.66957,1.03001,0.80816,0.69546,0.7617,0.4768,1.26016,0.76819,1.11216,0.000152195,0.000152195,0.000152195
135,7092.98,1.05378,0.67683,1.03508,0.80106,0.69821,0.75896,0.47815,1.24509,0.76863,1.10179,0.000141767,0.000141767,0.000141767
136,7153.07,1.06899,0.66277,1.02953,0.80428,0.69926,0.75625,0.47168,1.27158,0.77292,1.1119,0.000131947,0.000131947,0.000131947
137,7204.87,1.02017,0.60841,1.00441,0.80287,0.68522,0.75614,0.47057,1.27609,0.7791,1.11811,0.00012274,0.00012274,0.00012274
138,7256.17,1.01718,0.59638,1.00157,0.80917,0.68139,0.75278,0.4724,1.26531,0.7808,1.11113,0.000114151,0.000114151,0.000114151
139,7307.28,1.00443,0.5872,0.99377,0.81791,0.68014,0.75403,0.47381,1.26659,0.77714,1.11114,0.000106183,0.000106183,0.000106183
140,7357.61,0.9899,0.58061,0.99041,0.81412,0.67823,0.75483,0.47426,1.25912,0.77548,1.10823,9.8839e-05,9.8839e-05,9.8839e-05
141,7410.73,0.99489,0.58475,0.99119,0.79229,0.70137,0.7576,0.47373,1.26278,0.78518,1.11516,9.2123e-05,9.2123e-05,9.2123e-05
142,7465.56,0.98659,0.5786,0.98649,0.79034,0.69506,0.7574,0.47387,1.26026,0.77992,1.1125,8.60377e-05,8.60377e-05,8.60377e-05
143,7519.16,0.98722,0.57533,0.98777,0.79226,0.69376,0.75823,0.47539,1.25993,0.7787,1.11137,8.05858e-05,8.05858e-05,8.05858e-05
144,7571.71,1.00117,0.58311,0.99618,0.78976,0.69611,0.75359,0.4747,1.26177,0.77624,1.11278,7.57697e-05,7.57697e-05,7.57697e-05
145,7624.74,0.98092,0.57383,0.98435,0.78586,0.69926,0.75582,0.47372,1.25907,0.77651,1.11071,7.15914e-05,7.15914e-05,7.15914e-05
146,7677.48,0.98791,0.57628,0.98575,0.79634,0.69485,0.75789,0.47674,1.25462,0.77679,1.11055,6.80528e-05,6.80528e-05,6.80528e-05
147,7729.46,0.97186,0.57387,0.98222,0.79275,0.69582,0.75584,0.47603,1.25486,0.7776,1.1099,6.51555e-05,6.51555e-05,6.51555e-05
148,7782.76,0.97936,0.56728,0.98861,0.78289,0.70662,0.755,0.47645,1.25764,0.77582,1.1108,6.29007e-05,6.29007e-05,6.29007e-05
149,7834.39,0.97624,0.57347,0.98531,0.79884,0.68901,0.75697,0.47551,1.25555,0.781,1.10946,6.12894e-05,6.12894e-05,6.12894e-05
150,7887.18,0.98348,0.56801,0.97851,0.8108,0.6898,0.75808,0.47639,1.25553,0.77723,1.10961,6.03224e-05,6.03224e-05,6.03224e-05
